POST,avgage,avgwhite,avgtenure,avgorgfarir1,avgorgfair2,avgservlead1,avgpsm1,avgintfair2,avgintfair6,avgdiversityclimate1,avgdiversityclimate3,avgcontactpressure,avgarrestpressure,avgphysicalharm,avgverbalconfrontation,avgdobserved_excluded,avgobserved_discrimated,avgyou_excluded,avgyou_discrimated,orgfair1agree,orgfair2agree,servlead2agree,psm1agree,intfair2agree,intfair6agree,diversityclimate1agree,diversityclimate3agree,diversityclimate4agree,contactpressureagree,arrestpressureagree,physicalharmagree,verbalconfrontationagree,morale_3agree,morale_4agree,empower_2agree,work_helps_comm_2agree,force_policy_2agree,comm_citizen_3agree,force_policy_3agree,career_satisfactionagree,burnout_1agree,woman_not_suitableagree
26,33.125,0.875,9.0625,2.25,2.5625,3.75,4.5625,4.125,4.375,4.4375,4.0625,3.625,3.3125,2.9375,3.875,0,0,0,0,0.1875,0.1875,0.6875,0.9375,0.875,0.875,0.9375,0.75,0.5625,0.4375,0.3125,0.1875,0.6875,0.3125,0.4375,0.4375,0.3125,0,0,0,0.375,0.0625,0
27,38.25,0.8333333,13.58333,2.5,3.25,3.666667,4.416667,3.333333,3.25,4,3.916667,4.5,4,2.416667,3.333333,0.1111111,0.1111111,0,0.1111111,0.25,0.5,0.5833333,0.9166667,0.4166667,0.4166667,0.8333333,0.75,0.6666667,0.9166667,0.75,0,0.3333333,0.3333333,0.5,0.6666667,0.5,0.0833333,0.0833333,0.0833333,0.1666667,0.1666667,0.0833333
28,40.375,0.8,15.375,3.5,3.375,3.125,4.5,4.125,4.125,4.75,3.75,3.875,3.75,2.875,3.125,0.1111111,0.1111111,0.1111111,0.1111111,0.5,0.5,0.4,0.7,0.7,0.7,0.8,0.6,0.5,0.6,0.6,0,0.2,0.3,0.8,0.7,0.7,0,0.2,0,0.8,0.1,0
29,37.66667,0.6315789,13.2,2.066667,2.066667,2.133333,4.2,3,2.866667,4.333333,3.6,4.714286,4.571429,2.857143,4,0.0666667,0.0666667,0.0666667,0.0666667,0.1052632,0.1052632,0.0526316,0.73684210000000006,0.3157895,0.3157895,0.6842105,0.4736842,0.3157895,0.73684210000000006,0.6842105,0.1578947,0.4736842,0.0526316,0.2631579,0.4210526,0.368421,0.1052632,0.2631579,0.1578947,0.1052632,0.368421,0.0526316
30,37.7,0.6923077,14.1,2.9,3.5,3.4,4.8,3.6,3.9,4.6,4.3,4.3,4,2.9,3.6,0,0,0,0,0.2307692,0.3846154,0.3846154,0.7692308,0.5384616,0.6153846,0.7692308,0.6923077,0.6153846,0.6923077,0.4615385,0.0769231,0.4615385,0.5384616,0.7692308,0.7692308,0.6153846,0.0769231,0.3076923,0.1538462,0.8461539,0,0.0769231
31,37.11111,0.4615385,15.22222,2.2,2.6,3.1,4.4,4,3.8,4.7,4.4,3.9,4,3.5,4.1,0,0,0,0.0909091,0.1538462,0.3076923,0.2307692,0.7692308,0.5384616,0.5384616,0.7692308,0.6923077,0.5384616,0.4615385,0.5384616,0.3076923,0.5384616,0.0769231,0.4615385,0.5384616,0.3076923,0.1538462,0.0769231,0.0769231,0.3076923,0.2307692,0.0769231
32,38.42857,0.6875,14.21429,3.142857,2.928571,3.428571,4.214286,3.857143,3.928571,4.357143,4.071429,4.214286,3.428571,2.928571,3.285714,0,0,0.0909091,0,0.375,0.375,0.375,0.8125,0.5625,0.625,0.75,0.6875,0.5,0.625,0.5,0.1875,0.25,0.1875,0.5,0.5625,0.4375,0,0,0.0625,0.5,0.0625,0.0625
41,38.07143,0.75,11.92857,2.533333,2.866667,3.533333,4.2,3.8,3.866667,4.2,3.733333,3.666667,3.533333,3.133333,3.733333,0,0.0833333,0.0833333,0.0833333,0.1875,0.4375,0.5,0.875,0.625,0.625,0.875,0.625,0.625,0.5625,0.5,0.25,0.5625,0.25,0.375,0.625,0.5625,0,0.25,0.1875,0.4375,0.25,0
42,38.46154,0.9230769,13.38461,2.769231,2.692308,3.153846,4.307693,3.769231,3.692308,4.230769,3.923077,3.923077,3.769231,2.916667,3.583333,0.2222222,0.2222222,0.2222222,0.1111111,0.3076923,0.1538462,0.3846154,0.8461539,0.6153846,0.6153846,0.8461539,0.7692308,0.6153846,0.6923077,0.6153846,0.1538462,0.3846154,0.1538462,0.3076923,0.3846154,0.2307692,0.0769231,0.0769231,0.1538462,0.3076923,0.1538462,0.1538462
43,34.69231,0.7333333,10.76923,2.571429,2.461539,3.692308,4.285714,4.166667,4.416667,3.833333,3.75,3.307692,3.076923,3.083333,4.083333,0,0,0,0,0.3333333,0.2,0.5333334,0.8666667,0.8,0.8,0.6,0.6,0.6666667,0.4,0.2666667,0.2,0.5333334,0.2666667,0.6,0.6666667,0.6,0.0666667,0.2666667,0,0.6,0,0
