sup_uniqueid,lt_rank,lt_dept,lt_suprank,lt_supdept,stlt_uniqueid,lt_deptid,lt_politics,lt_education,lt_age,lt_male,lt_white,lt_tenure,lt_socialdominance1,lt_socialdominance2,lt_socialdominance3,lt_socialdominance4,lt_socialdominance5,lt_socialdominance6,lt_socialdominance7,lt_selfevaluation1,lt_selfevaluation2,lt_selfevaluation3,lt_selfevaluation4,lt_selfevaluation5,lt_selfevaluation6,lt_selfevaluation7,lt_selfevaluation8,lt_selfevaluation9,lt_selfevaluation10,lt_selfevaluation11,lt_selfevaluation12,lt_fto_intfair1,lt_fto_intfair2,lt_fto_intfair3,lt_fto_intfair4,lt_fto_intfar5,lt_fto_intfair6,lt_fto_understoodneeds,lt_ftogender,lt_ftowhite,lt_orgfair1,lt_orgfair2,lt_orgfair3,lt_orgfair4,lt_orgfair5,lt_servlead1,lt_servlead2,lt_servlead3,lt_servlead4,lt_servlead5,lt_servlead6,lt_servlead7,lt_psm5,lt_occid2,lt_psm1,lt_occid1,lt_occid3,lt_psm2,lt_occid4,lt_psm4,lt_psm3,lt_supethguid1,lt_supethguid2,lt_supethguid3,lt_supethguid4,lt_supethguid5,lt_strenuousexerciseweekly,lt_moderateexerciseweekly,lt_mildexerciseweekly,lt_intfair1,lt_intfair2,lt_intfair3,lt_intfair4,lt_intfair5,lt_intfair6,lt_diversityclimate1,lt_diversityclimate2,lt_diversityclimate3,lt_diversityclimate4,lt_diversityclimate5,lt_leaderintegrity1,lt_leaderintegrity2,lt_leaderintegrity3,lt_leaderintegrity4,lt_commdiversity1,lt_commdiversity2,lt_commdiversity3,lt_commdiversity4,lt_commdiversity5,lt_monitored1,lt_monitored2,lt_monitored3,lt_monitored4,lt_monitored5,lt_contactpressure,lt_arrestpressure,lt_policeasproblem,lt_publicagree,lt_publictruth,lt_publichideinfo,lt_homesafe,lt_familyconcern,lt_physicalharm,lt_legalliability,lt_verbalconfrontation,stlt_deptid,stlt_male,stlt_white,stlt_tenure,stlt_politics,stlt_education,stlt_age,stlt_socialdominance1,stlt_socialdominance2,stlt_socialdominance3,stlt_socialdominance4,stlt_socialdominance5,stlt_socialdominance6,stlt_socialdominance7,stlt_selfevaluation1,stlt_selfevaluation2,stlt_selfevaluation3,stlt_selfevaluation4,stlt_selfevaluation5,stlt_selfevaluation6,stlt_selfevaluation7,stlt_selfevaluation8,stlt_selfevaluation9,stlt_selfevaluation10,stlt_selfevaluation11,stlt_selfevaluation12,stlt_fto_intfair1,stlt_fto_intfair2,stlt_fto_intfair3,stlt_fto_intfair4,stlt_fto_intfar5,stlt_fto_intfair6,stlt_fto_understoodneeds,stlt_ftogender,stlt_ftowhite,stlt_orgfair1,stlt_orgfair2,stlt_orgfair3,stlt_orgfair4,stlt_orgfair5,stlt_servlead1,stlt_servlead2,stlt_servlead3,stlt_servlead4,stlt_servlead5,stlt_servlead6,stlt_servlead7,stlt_psm5,stlt_occid2,stlt_psm1,stlt_occid1,stlt_occid3,stlt_psm2,stlt_occid4,stlt_psm4,stlt_psm3,stlt_supethguid1,stlt_supethguid2,stlt_supethguid3,stlt_supethguid4,stlt_supethguid5,stlt_strenuousexerciseweekly,stlt_moderateexerciseweekly,stlt_mildexerciseweekly,stlt_intfair1,stlt_intfair2,stlt_intfair3,stlt_intfair4,stlt_intfair5,stlt_intfair6,stlt_diversityclimate1,stlt_diversityclimate2,stlt_diversityclimate3,stlt_diversityclimate4,stlt_diversityclimate5,stlt_leaderintegrity1,stlt_leaderintegrity2,stlt_leaderintegrity3,stlt_leaderintegrity4,stlt_commdiversity1,stlt_commdiversity2,stlt_commdiversity3,stlt_commdiversity4,stlt_commdiversity5,stlt_monitored1,stlt_monitored2,stlt_monitored3,stlt_monitored4,stlt_monitored5,stlt_contactpressure,stlt_arrestpressure,stlt_policeasproblem,stlt_publicagree,stlt_publictruth,stlt_publichideinfo,stlt_homesafe,stlt_familyconcern,stlt_physicalharm,stlt_legalliability,stlt_verbalconfrontation
1252_604_16,Lieutenant,CrimeLab,Staff Lieutenant,Crime Lab,1247_445_16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,1,28,1,4,52,4,2,3,4,3,2,4,1,4,3,4,4,5,2,1,4,5,4,4,4,4,4,5,5,5,5,2,473,4,3,1,3,NA,2,2,1,2,3,2,4,5,5,5,5,5,5,5,5,5,3,3,3,4,4,4,NA,NA,3,4,4,4,4,2,5,1,5,5,3,3,3,3,2,5,1,4,5,3,3,3,3,4,2,NA,NA,4,2,3,3,2,4,2,4,3
1259_439_18,Lieutenant,CriminalPatrol,Staff Lieutenant,Criminal Patrol,1264_458_18,18,2,1,46,1,0,24,1,1,1,1,1,1,5,4,2,5,2,5,4,5,2,5,2,4,2,2,2,2,3,2,2,3,2,473,2,2,3,3,3,3,4,4,3,3,3,4,4,4,5,5,5,5,3,4,4,5,4,4,4,4,1,2,4,3,3,3,3,2,2,4,4,3,3,3,3,3,3,3,4,2,4,4,4,4,4,3,4,3,4,4,3,3,3,3,2,5,3,5,5,18,1,1,19,1,3,40,1,1,5,5,1,1,5,5,NA,2,3,4,3,4,2,4,2,4,2,5,5,5,5,5,5,5,2,473,2,2,2,4,1,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,1,1,3,3,4,4,4,3,5,1,5,5,5,4,4,4,4,5,1,4,5,5,4,4,4,4,4,3,3,4,4,4,2,1,2,2,3,3
1274_360_19,Lieutenant,CRITICALCOMMUNICATIONSCENTER,Staff Lieutenant,CRITICAL COMMUNICATIONS CENTER,1275_614_19,19,3,4,55,0,1,26,1,1,5,4,2,2,4,4,2,4,2,4,2,5,2,4,2,4,1,5,3,3,4,4,5,4,2,473,4,4,1,4,2,5,3,4,4,5,3,5,3,5,5,3,4,4,4,2,3,4,4,4,5,5,0,3,1,5,5,5,5,5,5,4,2,3,3,3,5,5,5,5,4,2,4,4,4,1,1,1,1,1,1,1,4,4,4,3,1,2,1,2,3,19,1,1,22,2,2,47,3,2,4,4,3,3,4,4,3,4,3,4,4,4,2,4,2,4,2,4,3,3,4,4,3,3,2,473,5,4,4,3,2,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,1,3,4,4,4,4,4,5,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,2,3,3,1,2,3,3,3
1276_360_19,Lieutenant,CRITICALCOMMUNICATIONSCENTER,Staff Lieutenant,CRITICAL COMMUNICATIONS CENTER,1275_614_19,19,2,4,44,1,1,18,2,1,5,4,2,2,4,4,NA,2,2,4,4,4,2,4,2,4,2,4,2,4,4,4,4,4,2,473,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,3,3,4,4,4,0,5,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,4,4,4,4,4,1,1,4,4,4,4,4,4,2,4,3,19,1,1,22,2,2,47,3,2,4,4,3,3,4,4,3,4,3,4,4,4,2,4,2,4,2,4,3,3,4,4,3,3,2,473,5,4,4,3,2,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,1,3,4,4,4,4,4,5,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,2,3,3,1,2,3,3,3
1323_581_22,Lieutenant,D1CriminalPatrol,Staff Lieutenant,Criminal Patrol,1272_458_18,22,NA,NA,NA,NA,NA,NA,4,2,2,3,4,4,2,5,4,4,4,4,4,3,4,4,2,4,4,4,3,2,5,4,4,4,2,473,1,1,1,2,1,3,3,4,2,2,3,2,3,4,4,4,5,4,3,4,4,2,2,5,3,5,3,5,0,2,5,4,3,4,3,5,1,5,4,3,4,4,4,4,5,1,4,3,3,4,5,5,5,3,5,4,4,4,2,1,4,4,5,5,5,18,1,1,34,2,3,53,2,2,4,4,3,2,4,4,2,4,2,4,3,4,2,3,3,4,2,4,3,4,4,3,4,3,2,473,4,2,2,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,0,4,0,2,3,2,3,2,3,5,1,4,2,4,3,3,3,3,4,2,4,4,4,4,4,3,3,3,1,1,4,3,3,3,4,4,3,4,3
1351_325_26,Lieutenant,D1Post2Lima,Staff Lieutenant,District 1 Headquarters,3161_307_151,26,1,2,46,1,1,14,3,1,5,5,1,1,5,5,4,4,1,5,4,5,1,5,1,5,1,2,3,2,4,2,3,2,2,473,1,1,3,3,1,1,3,1,1,3,2,5,5,5,5,4,4,5,4,5,5,2,2,3,4,4,7,4,5,2,3,2,5,3,5,5,1,5,3,3,2,3,3,3,5,1,3,5,3,4,5,2,5,2,5,4,4,4,4,4,2,3,3,5,4,151,1,1,19,1,4,44,3,1,4,5,3,3,1,1,3,4,1,4,3,4,1,4,2,5,1,5,4,4,5,5,5,5,2,473,1,2,2,2,2,1,4,4,4,5,4,5,3,1,1,4,4,5,4,4,5,5,5,5,5,5,3,6,3,4,5,5,5,5,5,1,2,1,4,3,5,5,5,5,5,4,5,4,3,4,5,4,5,3,1,1,5,2,3,3,3,4,2,3,2
1367_555_27,Lieutenant,D1Post20Defiance,Staff Lieutenant,District 1 Headquarters,3165_307_151,27,1,2,53,1,1,21,3,3,2,4,4,2,3,4,3,4,3,4,4,4,2,3,2,4,2,5,4,4,5,5,5,4,1,473,1,4,3,4,3,3,3,2,2,3,3,4,4,4,5,3,4,5,2,4,4,4,4,4,4,4,2,2,4,3,3,2,3,3,3,4,1,3,4,4,4,4,3,3,3,3,3,3,3,4,5,4,5,4,5,4,4,2,3,3,3,4,3,4,3,151,1,1,26,1,2,49,2,2,4,4,2,2,4,4,2,4,4,4,3,4,3,4,2,4,2,4,3,4,4,4,4,4,2,474,4,4,4,4,3,4,4,4,5,5,4,5,3,4,4,4,4,4,4,4,3,4,5,5,4,5,2,2,2,4,5,5,5,5,5,5,1,4,3,4,5,5,5,5,4,2,3,3,3,4,4,4,4,4,4,5,3,4,3,3,2,2,2,3,2
1387_325_28,Lieutenant,D1Post32Findlay,Staff Lieutenant,District 1 Headquarters,3161_307_151,28,1,4,47,1,1,22,3,1,3,5,4,3,3,4,2,4,2,4,2,4,2,2,2,4,2,5,4,4,4,5,5,5,2,473,4,4,2,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,4,1,3,4,4,4,4,4,5,1,4,3,3,4,4,4,4,4,2,4,4,3,4,4,4,4,4,5,5,5,3,3,3,3,4,3,3,2,151,1,1,19,1,4,44,3,1,4,5,3,3,1,1,3,4,1,4,3,4,1,4,2,5,1,5,4,4,5,5,5,5,2,473,1,2,2,2,2,1,4,4,4,5,4,5,3,1,1,4,4,5,4,4,5,5,5,5,5,5,3,6,3,4,5,5,5,5,5,1,2,1,4,3,5,5,5,5,5,4,5,4,3,4,5,4,5,3,1,1,5,2,3,3,3,4,2,3,2
1421_555_29,Lieutenant,D1Post48Toledo,Staff Lieutenant,District 1 Headquarters,3165_307_151,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,1,1,26,1,2,49,2,2,4,4,2,2,4,4,2,4,4,4,3,4,3,4,2,4,2,4,3,4,4,4,4,4,2,474,4,4,4,4,3,4,4,4,5,5,4,5,3,4,4,4,4,4,4,4,3,4,5,5,4,5,2,2,2,4,5,5,5,5,5,5,1,4,3,4,5,5,5,5,4,2,3,3,3,4,4,4,4,4,4,5,3,4,3,3,2,2,2,3,2
1438_555_30,Lieutenant,D1Post81VanWert,Staff Lieutenant,District 1 Headquarters,3165_307_151,30,1,4,44,1,1,25,4,2,4,2,4,4,2,4,2,4,1,4,4,4,2,5,2,5,1,5,4,5,5,4,4,4,2,473,4,2,1,5,1,5,4,4,5,4,4,4,4,5,5,5,3,2,4,5,4,5,5,5,5,5,4,3,3,4,4,5,5,5,5,4,1,4,4,4,5,5,5,5,3,4,3,3,3,5,5,5,5,5,5,5,5,2,4,2,2,3,3,4,4,151,1,1,26,1,2,49,2,2,4,4,2,2,4,4,2,4,4,4,3,4,3,4,2,4,2,4,3,4,4,4,4,4,2,474,4,4,4,4,3,4,4,4,5,5,4,5,3,4,4,4,4,4,4,4,3,4,5,5,4,5,2,2,2,4,5,5,5,5,5,5,1,4,3,4,5,5,5,5,4,2,3,3,3,4,4,4,4,4,4,5,3,4,3,3,2,2,2,3,2
